"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"Zeitraum: 10-2020";
"Filter: Inhalt > Thema > Nachrichten";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"AngebotsschlÃ¼ssel";"Angebot";"Typ";"ausgewiesene Tage";"Kat-Visits";"PIs in gewÃ¤hlten Kategorien gesamt";"PIs in gewÃ¤hlten Kategorien Inland";"PIs Anteil Inland";"PIs in gewÃ¤hlten Kategorien Ausland";
"Radio Köln";"Radio Köln";"Online (http://www.radiokoeln.de)";" 31/31";180.077;284.896;277.087;97 %;7.809;
"Radio Leverkusen";"Radio Leverkusen";"gesamt";" 31/31";225.143;346.101;339.059;98 %;7.042;
"Radio Leverkusen";"Radio Leverkusen";"Online (http://www.radioleverkusen.de)";" 31/31";225.143;346.101;339.059;98 %;7.042;
"Radio Lippe";"Radio Lippe";"gesamt";" 31/31";1.348.013;2.572.998;2.546.981;99 %;26.017;
"Radio Lippe";"Radio Lippe";"Online (http://www.radiolippe.de)";" 31/31";160.422;297.751;293.852;99 %;3.899;
"Radio Lippe";"Radio Lippe mobile";"MEW (http://radiolippe.de/m/)";" 31/31";1.187.591;2.275.247;2.253.129;99 %;22.118;
"Radio Lippewelle Hamm";"Radio Lippewelle Hamm";"gesamt";" 31/31";93.899;165.573;163.250;99 %;2.323;
"Radio Lippewelle Hamm";"Radio Lippewelle Hamm";"Online (http://www.lippewelle.de)";" 31/31";93.899;165.573;163.250;99 %;2.323;
"Radio MK";"Radio MK";"gesamt";" 31/31";139.689;195.445;191.534;98 %;3.911;
"Radio MK";"Radio MK";"Online (http://www.radiomk.de)";" 31/31";139.689;195.445;191.534;98 %;3.911;
"Radio Regenbogen";"Radio Regenbogen";"gesamt";" 31/31";136.988;265.499;254.564;96 %;10.935;
"Radio Regenbogen";"Radio Regenbogen";"Online (http://www.regenbogen.de)";" 31/31";31.647;58.791;54.434;93 %;4.357;
"Radio Regenbogen";"Radio Regenbogen";"Apps (gesamt)";" 31/31";3.985;4.557;4.361;96 %;196;
"Radio Regenbogen";"Radio Regenbogen";"Apps (Smartphone)";" 31/31";3.985;4.557;4.361;96 %;196;
"Radio Regenbogen";"Radio Regenbogen Mobil";"MEW (http://www.regenbogen.de)";" 31/31";101.356;202.151;195.769;97 %;6.382;
"Radio RPR Rheinland-Pfälzische Rundfunk GmbH & Co.KG";"Radio RPR Rheinland-Pfälzische Rundfunk GmbH & Co.KG";"gesamt";" 31/31";312.029;416.066;407.010;98 %;9.056;
"Radio RPR Rheinland-Pfälzische Rundfunk GmbH & Co.KG";"Radio RPR Rheinland-Pfälzische Rundfunk GmbH & Co.KG";"Online (http://www.rpr1.de)";" 31/31";29.671;56.570;54.608;97 %;1.962;
"Radio RPR Rheinland-Pfälzische Rundfunk GmbH & Co.KG";"Radio RPR1.";"Apps (gesamt)";" 31/31";5.629;6.725;6.558;98 %;167;
"Radio RPR Rheinland-Pfälzische Rundfunk GmbH & Co.KG";"Radio RPR1.";"Apps (Smartphone)";" 31/31";5.629;6.725;6.558;98 %;167;
"Radio RPR Rheinland-Pfälzische Rundfunk GmbH & Co.KG";"Radio RPR1. mobil";"MEW (http://www.rpr1.de)";" 31/31";276.729;352.771;345.844;98 %;6.927;
"RADIO RST";"RADIO RST";"gesamt";" 31/31";78.153;119.191;117.755;99 %;1.436;
"RADIO RST";"RADIO RST";"Online (http://www.radiorst.de)";" 31/31";78.153;119.191;117.755;99 %;1.436;
"Radio Rur";"Radio Rur";"gesamt";" 31/31";100.382;184.078;180.459;98 %;3.619;
"Radio Rur";"Radio Rur";"Online (http://www.radiorur.de)";" 31/31";100.382;184.078;180.459;98 %;3.619;
"Radio Salue";"Radio Salue";"gesamt";" 31/31";43.304;88.197;78.454;89 %;9.743;
"Radio Salue";"Radio Salue";"Online (http://www.salue.de)";" 31/31";43.304;88.197;78.454;89 %;9.743;
"radio SAW";"radio SAW";"gesamt";" 31/31";172.727;282.500;277.139;98 %;5.361;
"radio SAW";"radio SAW";"Online (http://www.radiosaw.de)";" 31/31";172.727;282.500;277.139;98 %;5.361;
"Radio Siegen";"Radio Siegen";"gesamt";" 31/31";101.133;165.262;162.221;98 %;3.041;
"Radio Siegen";"Radio Siegen";"Online (http://www.radio-siegen.de)";" 31/31";101.133;165.262;162.221;98 %;3.041;
"radio TOP 40";"radio TOP 40";"gesamt";" 31/31";85;123;87;71 %;36;
"radio TOP 40";"radio TOP 40";"Online (http://www.radiotop40.de)";" 31/31";39;69;34;49 %;35;
"radio TOP 40";"radio TOP 40 mobil";"MEW (http://mobil.radiotop40.de/)";" 31/31";46;54;53;98 %;1;
"radio TOP 40 App";"radio TOP 40 App";"gesamt";" 31/31";53;91;52;57 %;39;
"radio TOP 40 App";"radio TOP 40 App";"Apps (gesamt)";" 31/31";53;91;52;57 %;39;
"radio TOP 40 App";"radio TOP 40 App";"Apps (Smartphone)";" 31/31";53;91;52;57 %;39;
"Radio WAF";"Radio WAF";"gesamt";" 31/31";851.563;1.534.612;1.520.849;99 %;13.763;
"Radio WAF";"Radio WAF";"Online (http://www.radiowaf.de)";" 31/31";110.989;221.550;218.640;99 %;2.910;
"Radio WAF";"Radio WAF mobile";"MEW (http://radiowaf.de/m/)";" 31/31";740.574;1.313.062;1.302.209;99 %;10.853;
"Radio Westfalica";"Radio Westfalica";"gesamt";" 31/31";732.977;1.423.998;1.410.642;99 %;13.356;
"Radio Westfalica";"Radio Westfalica";"Online (http://www.radiowestfalica.de)";" 31/31";110.175;241.590;237.856;98 %;3.734;
"Radio Westfalica";"Radio Westfalica mobile";"MEW (http://radiowestfalica.de/m/)";" 31/31";622.802;1.182.408;1.172.786;99 %;9.622;
"RADIO WMW";"RADIO WMW";"gesamt";" 31/31";133.055;192.657;184.664;96 %;7.993;
"RADIO WMW";"RADIO WMW";"Online (http://www.radiowmw.de)";" 31/31";133.055;192.657;184.664;96 %;7.993;
"ran";"ran";"gesamt";" 31/31";27.721;32.464;29.749;92 %;2.715;
"ran";"ran";"Online (http://www.ran.de)";" 31/31";27.721;32.464;29.749;92 %;2.715;
"regionalHeute.de";"regionalHeute.de";"gesamt";" 31/31";1.901.597;3.179.061;3.117.527;98 %;61.534;
"regionalHeute.de";"regionalHeute.de";"Online (http://regionalheute.de)";" 31/31";1.901.597;3.179.061;3.117.527;98 %;61.534;
"rga.de";"rga.de";"gesamt";" 31/31";384.032;665.584;636.837;96 %;28.747;
"rga.de";"rga.de";"Online (http://www.rga.de)";" 31/31";128.051;273.642;255.801;93 %;17.841;
"rga.de";"Remscheider General-Anzeiger - mobil";"MEW (http://www.rga.de)";" 31/31";255.981;391.942;381.036;97 %;10.906;
"Rhein-Neckar-Zeitung";"Rhein-Neckar-Zeitung";"gesamt";" 31/31";2.453.333;3.740.006;3.594.680;96 %;145.326;
"Rhein-Neckar-Zeitung";"Rhein-Neckar-Zeitung";"Online (http://www.rnz.de)";" 31/31";664.989;1.270.009;1.197.671;94 %;72.338;
"Rhein-Neckar-Zeitung";"Rhein-Neckar-Zeitung Mobil";"MEW (http://www.rnz.de/rnzmobil)";" 31/31";1.788.344;2.469.997;2.397.009;97 %;72.988;
"Rhein-Zeitung";"Rhein-Zeitung";"gesamt";" 31/31";3.110.120;7.326.582;6.896.496;94 %;430.086;
"Rhein-Zeitung";"Rhein-Zeitung";"Online (http://rhein-zeitung.de)";" 31/31";633.842;2.150.763;1.820.137;85 %;330.626;
"Rhein-Zeitung";"Rhein-Zeitung mobil";"MEW (https://www.rhein-zeitung.de)";" 31/31";2.476.278;5.175.819;5.076.359;98 %;99.460;
"Rheinmain Extratipp";"Rheinmain Extratipp";"gesamt";" 31/31";73.496;87.380;71.495;82 %;15.885;
"Rheinmain Extratipp";"Rheinmain Extratipp";"Online (http://www.extratipp.com)";" 31/31";14.713;19.343;16.578;86 %;2.765;
"Rheinmain Extratipp";"Rheinmain Extratipp mobile";"MEW (http://www.extratipp.com/)";" 31/31";58.783;68.037;54.917;81 %;13.120;
"Rhön- und Saalepost";"Rhön- und Saalepost";"gesamt";" 31/31";162.041;473.125;463.952;98 %;9.173;
"Rhön- und Saalepost";"Rhön- und Saalepost";"Online (http://www.rhoenundsaalepost.de/)";" 31/31";62.305;210.961;205.382;97 %;5.579;
"Rhön- und Saalepost";"Rhön- und Saalepost Mobil";"MEW (http://m.rhoenundsaalepost.de/)";" 31/31";99.736;262.164;258.570;99 %;3.594;
"RND";"RND";"gesamt";" 31/31";32.521.085;55.784.442;54.810.515;98 %;973.927;
"RND";"RND";"Online (http://www.rnd.de/)";" 31/31";7.002.498;16.397.583;16.109.244;98 %;288.339;
"RND";"RND  Mobil";"MEW (http://www.rnd-news.de/)";" 31/31";25.518.587;39.386.859;38.701.271;98 %;685.588;
"ROCKLAND SACHSEN-ANHALT";"ROCKLAND SACHSEN-ANHALT";"gesamt";" 31/31";5;5;5;100 %;---;
"ROCKLAND SACHSEN-ANHALT";"ROCKLAND SACHSEN-ANHALT";"Online (http://www.rockland-digital.de)";" 31/31";5;5;5;100 %;---;
"rp-online";"rp-online";"gesamt";" 31/31";46.002.969;109.526.734;104.616.952;96 %;4.909.782;
"rp-online";"rp-online";"Online (http://www.rp-online.de)";" 31/31";10.835.730;36.197.531;33.900.362;94 %;2.297.169;
"rp-online";"RP ONLINE App";"Apps (gesamt)";" 31/31";1.284.587;5.604.333;5.470.330;98 %;134.003;
"rp-online";"RP ONLINE App";"Apps (Smartphone)";" 31/31";1.284.587;5.604.333;5.470.330;98 %;134.003;
"rp-online";"RP Online Mobile";"MEW (http://m.rp-online.de)";" 31/31";33.882.652;67.724.870;65.246.260;96 %;2.478.610;
"RTL- Deutschlands Hit-Radio";"RTL- Deutschlands Hit-Radio";"gesamt";" 31/31";98;117;76;65 %;41;
"RTL- Deutschlands Hit-Radio";"RTL- Deutschlands Hit-Radio";"Online (http://www.rtlradio.de)";" 31/31";62;73;45;62 %;28;
"RTL- Deutschlands Hit-Radio";"RTL- Deustchlands Hit-Radio";"MEW (http://mew.rtlradio.de)";" 31/31";36;44;31;70 %;13;
"RTL.de";"RTL.de";"gesamt";" 31/31";28.336.265;39.608.219;37.587.526;95 %;2.020.693;
"RTL.de";"RTL.de";"Online (http://www.rtl.de)";" 31/31";27.411.407;37.478.886;35.508.164;95 %;1.970.722;
"RTL.de";"RTL.de App";"Apps (gesamt)";" 31/31";570.772;905.247;855.357;94 %;49.890;
"RTL.de";"RTL.de App";"Apps (Smartphone)";" 31/31";570.772;905.247;855.357;94 %;49.890;
"RTL.de";"RTL Digitaltext";"Connected TV";" /31";354.086;1.224.086;1.224.005;100 %;81;
"sächsische.de";"sächsische.de";"gesamt";" 31/31";7.434.962;14.779.580;14.412.517;98 %;367.063;
"sächsische.de";"sächsische.de";"Online (http://sächsische.de)";" 31/31";7.434.962;14.779.580;14.412.517;98 %;367.063;
"sat.1 online";"sat.1 online";"gesamt";" 31/31";60.797;102.724;100.155;97 %;2.569;
"sat.1 online";"sat.1 online";"Online (http://www.sat1.de)";" 31/31";60.797;102.724;100.155;97 %;2.569;
"Schaumburger-Zeitung.de/Schaumburg-Lippische Landes-Zeitung";"Schaumburger-Zeitung.de/Schaumburg-Lippische Landes-Zeitung";"gesamt";" 31/31";146.247;214.540;211.959;99 %;2.581;
"Schaumburger-Zeitung.de/Schaumburg-Lippische Landes-Zeitung";"Schaumburger-Zeitung.de/Schaumburg-Lippische Landes-Zeitung";"Online (http://www.szlz.de)";" 31/31";146.247;214.540;211.959;99 %;2.581;
"Schwäbische Post";"Schwäbische Post";"gesamt";" 31/31";1.039.446;2.491.484;2.453.096;98 %;38.388;
"Schwäbische Post";"Schwäbische Post";"Online (http://www.schwaebische-post.de)";" 31/31";1.039.446;2.491.484;2.453.096;98 %;38.388;
"Schwäbische Zeitung Online";"Schwäbische Zeitung Online";"gesamt";" 31/31";4.274.658;6.958.851;6.815.828;98 %;143.023;
"Schwäbische Zeitung Online";"Schwäbische Zeitung Online";"Online (http://www.schwaebische.de)";" 31/31";1.047.167;2.611.755;2.538.415;97 %;73.340;
"Schwäbische Zeitung Online";"Schwaebische.de Mobil";"MEW (http://www.schwaebische.mobi/)";" 31/31";3.227.491;4.347.096;4.277.413;98 %;69.683;
"Schwäbisches Tagblatt Online";"Schwäbisches Tagblatt Online";"gesamt";" 31/31";822.851;1.919.548;1.862.790;97 %;56.758;
"Schwäbisches Tagblatt Online";"Schwäbisches Tagblatt Online";"Online (http://www.tagblatt.de)";" 31/31";822.851;1.919.548;1.862.790;97 %;56.758;
"schwarzwaelder-bote.de (SWOL)";"schwarzwaelder-bote.de (SWOL)";"gesamt";" 31/31";1.921.272;3.700.326;3.577.655;97 %;122.671;
"schwarzwaelder-bote.de (SWOL)";"schwarzwaelder-bote.de (SWOL)";"Online (http://www.schwarzwaelder-bote.de)";" 31/31";693.915;1.557.498;1.485.384;95 %;72.114;
"schwarzwaelder-bote.de (SWOL)";"schwarzwaelder-bote.de (SWOL)";"Apps (gesamt)";" 31/31";45.780;84.701;83.624;99 %;1.077;
"schwarzwaelder-bote.de (SWOL)";"schwarzwaelder-bote.de (SWOL)";"Apps (Smartphone)";" 31/31";45.780;84.701;83.624;99 %;1.077;
"schwarzwaelder-bote.de (SWOL)";"schwarzwaelder-bote.de Mobil";"MEW (http://m.schwarzwaelder-bote.de)";" 31/31";1.181.577;2.058.127;2.008.647;98 %;49.480;
"scinexx";"scinexx";"gesamt";" 31/31";110.882;142.572;119.571;84 %;23.001;
"scinexx";"scinexx";"Online (http://www.scinexx.de)";" 31/31";110.882;142.572;119.571;84 %;23.001;
"shz.de";"shz.de";"gesamt";" 31/31";5.996.305;11.881.461;11.473.139;97 %;408.322;
"shz.de";"shz.de";"Online (http://www.shz.de)";" 31/31";1.625.219;3.842.489;3.657.698;95 %;184.791;
"shz.de";"sh:z mobil";"MEW (http://www.shz.de)";" 31/31";4.371.086;8.038.972;7.815.441;97 %;223.531;
"Si - Fachportal für SHK-Unternehmer";"Si - Fachportal für SHK-Unternehmer";"gesamt";" 31/31";1;1;1;100 %;---;
"Si - Fachportal für SHK-Unternehmer";"Si - Fachportal für SHK-Unternehmer";"Online (http://www.si-shk.de)";" 31/31";1;1;1;100 %;---;
"Siegener Zeitung online";"Siegener Zeitung online";"gesamt";" 31/31";1.035.175;1.684.762;1.658.435;98 %;26.327;
"Siegener Zeitung online";"Siegener Zeitung online";"Online (http://www.siegener-zeitung.de)";" 31/31";1.035.175;1.684.762;1.658.435;98 %;26.327;
"Singener Wochenblatt";"Singener Wochenblatt";"gesamt";" 31/31";194.506;326.085;304.452;93 %;21.633;
"Singener Wochenblatt";"Singener Wochenblatt";"Online (http://www.wochenblatt.net)";" 31/31";194.506;326.085;304.452;93 %;21.633;
"solinger-tageblatt.de";"solinger-tageblatt.de";"gesamt";" 31/31";625.000;933.454;907.227;97 %;26.227;
"solinger-tageblatt.de";"solinger-tageblatt.de";"Online (http://www.solinger-tageblatt.de)";" 31/31";173.826;300.687;288.728;96 %;11.959;
"solinger-tageblatt.de";"Solinger Tageblatt mobil";"MEW (http://www.solinger-tageblatt.de)";" 31/31";451.174;632.767;618.499;98 %;14.268;
"Speedweek.com";"Speedweek.com";"gesamt";" 31/31";3.411;5.299;3.997;75 %;1.302;
"Speedweek.com";"Speedweek.com";"Online (http://www.speedweek.com)";" 31/31";3.411;5.299;3.997;75 %;1.302;
"Spreeradio.de";"Spreeradio.de";"gesamt";" 31/31";57;67;67;100 %;---;
"Spreeradio.de";"Spreeradio.de";"Online (http://www.spreeradio.de)";" 31/31";57;67;67;100 %;---;
"STAR FM 87.9 MAXIMUM ROCK!";"STAR FM 87.9 MAXIMUM ROCK!";"gesamt";" 31/31";302;352;320;91 %;32;
"STAR FM 87.9 MAXIMUM ROCK!";"STAR FM 87.9 MAXIMUM ROCK!";"Online (http://www.starfm.de)";" 31/31";85;96;85;89 %;11;
"STAR FM 87.9 MAXIMUM ROCK!";"starfm mobil";"MEW (http://www.starfm.de)";" 31/31";217;256;235;92 %;21;
"stern.de";"stern.de";"gesamt";" 31/31";27.651.690;54.891.691;49.330.315;90 %;5.561.376;
"stern.de";"stern.de";"Online (http://www.stern.de)";" 31/31";6.948.198;12.910.942;11.156.064;86 %;1.754.878;
"stern.de";"stern.de";"Apps (gesamt)";" 31/31";7.107.106;22.514.908;20.479.306;91 %;2.035.602;
"stern.de";"stern.de";"Apps (Smartphone)";" 31/31";7.107.106;22.514.908;20.479.306;91 %;2.035.602;
"stern.de";"stern.de mobil";"MEW (http://mobil.stern.de/)";" 31/31";13.596.386;19.465.841;17.694.945;91 %;1.770.896;
"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"gesamt";" 31/31";18.888.445;34.639.982;33.273.377;96 %;1.366.605;
"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"Online (http://www.stuttgarter-zeitung.de)";" 31/31";3.856.120;8.612.906;7.957.027;92 %;655.879;
"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"Stuttgarter Nachrichten";"Apps (gesamt)";" 31/31";581.920;1.655.227;1.627.629;98 %;27.598;
"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"Stuttgarter Nachrichten";"Apps (Smartphone)";" 31/31";581.920;1.655.227;1.627.629;98 %;27.598;
"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"Stuttgarter Zeitung";"Apps (gesamt)";" 31/31";1.072.939;2.926.546;2.857.007;98 %;69.539;
"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"Stuttgarter Zeitung";"Apps (Smartphone)";" 31/31";1.072.939;2.926.546;2.857.007;98 %;69.539;
"Stuttgarter Zeitung online & Stuttgarter Nachrichten online";"Stuttgarter Zeitung Mobil & Stuttgarter Nachrichten Mobil";"MEW (http://www.stuttgarter-zeitung.de)";" 31/31";13.377.466;21.445.303;20.831.714;97 %;613.589;
"Süddeutsche.de";"Süddeutsche.de";"gesamt";" 31/31";59.155.686;94.494.609;86.846.093;92 %;7.648.516;
"Süddeutsche.de";"Süddeutsche.de";"Online (http://www.sueddeutsche.de)";" 31/31";11.055.333;17.531.472;15.749.482;90 %;1.781.990;
"Süddeutsche.de";"Süddeutsche.de";"Apps (gesamt)";" 31/31";13.622.801;25.679.416;23.754.533;93 %;1.924.883;
"Süddeutsche.de";"Süddeutsche.de";"Apps (Smartphone)";" 31/31";13.622.801;25.679.416;23.754.533;93 %;1.924.883;
"Süddeutsche.de";"Süddeutsche.de Mobil";"MEW (http://www.sueddeutsche.de)";" 31/31";34.477.552;51.283.721;47.342.078;92 %;3.941.643;
"suedkurier.de";"suedkurier.de";"gesamt";" 31/31";3.806.516;6.555.131;6.227.206;95 %;327.925;
"suedkurier.de";"suedkurier.de";"Online (http://www.suedkurier.de)";" 31/31";1.152.365;2.605.119;2.451.061;94 %;154.058;
"suedkurier.de";"suedkurier.de mobile";"MEW (http://m.suedkurier.de)";" 31/31";2.654.151;3.950.012;3.776.145;96 %;173.867;
"Südwest Presse Online";"Südwest Presse Online";"gesamt";" 31/31";9.945.344;15.016.597;14.189.774;94 %;826.823;
"Südwest Presse Online";"Südwest Presse Online";"Online (http://www.swp.de)";" 31/31";2.986.743;4.819.627;4.522.126;94 %;297.501;
"Südwest Presse Online";"swp.de Mobile";"MEW (http://m.swp.de)";" 31/31";6.958.601;10.196.970;9.667.648;95 %;529.322;
"T-Online Contentangebot";"T-Online Contentangebot";"gesamt";" 31/31";197.145.113;585.360.068;573.656.037;98 %;11.704.031;
"T-Online Contentangebot";"T-Online Contentangebot";"Online (http://www.t-online.de)";" 31/31";114.739.483;306.398.249;300.790.332;98 %;5.607.917;
"T-Online Contentangebot";"T-Online";"Apps (gesamt)";" 31/31";22.039.275;119.562.568;117.584.374;98 %;1.978.194;
"T-Online Contentangebot";"T-Online";"Apps (Smartphone)";" 31/31";22.039.275;119.562.568;117.584.374;98 %;1.978.194;
"T-Online Contentangebot";"T-Online Wetter";"Apps (gesamt)";" 31/31";4.125.692;21.081.263;20.651.943;98 %;429.320;
"T-Online Contentangebot";"T-Online Wetter";"Apps (Smartphone)";" 31/31";4.125.692;21.081.263;20.651.943;98 %;429.320;
"T-Online Contentangebot";"T-Online MEW";"MEW (http://m.t-online.de)";" 31/31";56.240.663;138.317.988;134.629.388;97 %;3.688.600;
"TAG24";"TAG24";"gesamt";" 31/31";46.544.776;66.146.508;63.925.272;97 %;2.221.236;
"TAG24";"TAG24";"Online (http://www.tag24.de)";" 31/31";46.544.776;66.146.508;63.925.272;97 %;2.221.236;
"Tagesspiegel.de";"Tagesspiegel.de";"gesamt";" 31/31";44.609.931;62.801.175;59.920.076;95 %;2.881.099;
"Tagesspiegel.de";"Tagesspiegel.de";"Online (http://www.tagesspiegel.de)";" 31/31";10.258.179;15.359.614;14.331.075;93 %;1.028.539;
"Tagesspiegel.de";"Tagesspiegel";"Apps (gesamt)";" 31/31";1.510.774;3.544.189;3.410.310;96 %;133.879;
"Tagesspiegel.de";"Tagesspiegel";"Apps (Smartphone)";" 31/31";1.510.774;3.544.189;3.410.310;96 %;133.879;
"Tagesspiegel.de";"Der Tagesspiegel mobil";"MEW (http://m.tagesspiegel.de)";" 31/31";32.840.978;43.897.372;42.178.691;96 %;1.718.681;
"taz.de";"taz.de";"gesamt";" 31/31";5.756.403;8.324.625;7.569.040;91 %;755.585;
"taz.de";"taz.de";"Online (http://www.taz.de)";" 31/31";2.203.844;2.869.842;2.600.741;91 %;269.101;
"taz.de";"taz mobile";"MEW (http://www.taz.de)";" 31/31";3.552.559;5.454.783;4.968.299;91 %;486.484;
"The Weather Channel";"The Weather Channel";"gesamt";" 31/31";26.833.590;41.976.561;34.913.188;83 %;7.063.373;
"The Weather Channel";"The Weather Channel";"Online (http://www.weather.com/de-de)";" 31/31";645.581;950.049;654.949;69 %;295.100;
"The Weather Channel";"The Weather Channel App";"Apps (gesamt)";" 31/31";2.522.988;5.215.395;4.621.895;89 %;593.500;
"The Weather Channel";"The Weather Channel App";"Apps (Smartphone)";" 31/31";2.522.988;5.215.395;4.621.895;89 %;593.500;
"The Weather Channel";"The Weather Channel mobil";"MEW (http://www.weather.com/de-de)";" 31/31";23.665.021;35.811.117;29.636.344;83 %;6.174.773;
"Tichys Einblick";"Tichys Einblick";"gesamt";" 31/31";135.420;158.854;145.454;92 %;13.400;
"Tichys Einblick";"Tichys Einblick";"Online (https://www.tichyseinblick.de/)";" 31/31";135.420;158.854;145.454;92 %;13.400;
"top agrar online";"top agrar online";"gesamt";" 31/31";3.330.171;6.457.273;4.313.248;67 %;2.144.025;
"top agrar online";"top agrar online";"Online (http://www.topagrar.com)";" 31/31";3.330.171;6.457.273;4.313.248;67 %;2.144.025;
"torgauerzeitung.com";"torgauerzeitung.com";"gesamt";" 31/31";24.718;43.140;36.228;84 %;6.912;
"torgauerzeitung.com";"torgauerzeitung.com";"Online (http://www.torgauerzeitung.com)";" 31/31";24.718;43.140;36.228;84 %;6.912;
"Travelbook";"Travelbook";"gesamt";" 31/31";113;117;36;31 %;81;
"Travelbook";"Travelbook";"Online (http://www.travelbook.de)";" 31/31";113;117;36;31 %;81;
"TVNOW";"TVNOW";"gesamt";" 31/31";3.027;3.416;3.310;97 %;106;
"TVNOW";"TVNOW";"Online (http://www.tvnow.de)";" 31/31";3.027;3.416;3.310;97 %;106;
"tz";"tz";"gesamt";" 31/31";10.621.273;19.474.038;18.414.768;95 %;1.059.270;
"tz";"tz";"Online (http://www.tz.de)";" 31/31";2.956.238;6.439.982;6.064.360;94 %;375.622;
"tz";"tz Online mobile";"MEW (http://www.tz.de/)";" 31/31";7.665.035;13.034.056;12.350.408;95 %;683.648;
"Unternehmer.de";"Unternehmer.de";"gesamt";" 31/31";1.870;2.761;1.878;68 %;883;
"Unternehmer.de";"Unternehmer.de";"Online (http://www.unternehmer.de/)";" 31/31";1.870;2.761;1.878;68 %;883;
"upday";"upday";"gesamt";" 31/31";119.210.079;937.248.190;904.053.056;96 %;33.195.134;
"upday";"upday";"Apps (gesamt)";" 31/31";109.012.931;918.837.904;888.695.628;97 %;30.142.276;
"upday";"upday";"Apps (Smartphone)";" 31/31";109.012.931;918.837.904;888.695.628;97 %;30.142.276;
"upday";"upday Browser";"MEW (https://samsung-quick-access.upday.com/latest/index.html)";" 31/31";10.197.148;18.410.286;15.357.428;83 %;3.052.858;
"Vaihinger Kreiszeitung";"Vaihinger Kreiszeitung";"gesamt";" 31/31";44.150;70.157;67.266;96 %;2.891;
"Vaihinger Kreiszeitung";"Vaihinger Kreiszeitung";"Online (http://www.vkz.de)";" 31/31";11.307;22.326;20.900;94 %;1.426;
"Vaihinger Kreiszeitung";"VKZ mobil";"MEW (http://www.vkz.de)";" 31/31";32.843;47.831;46.366;97 %;1.465;
"Verkehrsrundschau Online";"Verkehrsrundschau Online";"gesamt";" 31/31";259.455;371.392;326.089;88 %;45.303;
"Verkehrsrundschau Online";"Verkehrsrundschau Online";"Online (http://www.verkehrsrundschau.de)";" 31/31";259.455;371.392;326.089;88 %;45.303;
"VersicherungsJournal";"VersicherungsJournal";"gesamt";" 31/31";205;358;331;92 %;27;
"VersicherungsJournal";"VersicherungsJournal";"Online (http://www.versicherungsjournal.de)";" 31/31";205;358;331;92 %;27;
"Vital";"Vital";"gesamt";" 31/31";66.652;76.223;64.555;85 %;11.668;
"Vital";"Vital";"Online (http://www.vital.de)";" 31/31";20.394;23.625;19.430;82 %;4.195;
"Vital";"Vital Mobil";"MEW (http://m.vital.de)";" 31/31";46.258;52.598;45.125;86 %;7.473;
"Vodafone live! Mobil";"Vodafone live! Mobil";"gesamt";" 31/31";26.497;43.653;43.135;99 %;518;
"Vodafone live! Mobil";"Vodafone live! Mobil";"MEW (http://live.vodafone.de)";" 31/31";26.497;43.653;43.135;99 %;518;
"Volksstimme, Magdeburg";"Volksstimme, Magdeburg";"gesamt";" 31/31";5.834.146;9.144.415;8.906.083;97 %;238.332;
"Volksstimme, Magdeburg";"Volksstimme, Magdeburg";"Online (http://www.volksstimme.de)";" 31/31";791.903;1.894.791;1.799.724;95 %;95.067;
"Volksstimme, Magdeburg";"Volksstimme mobil";"MEW (http://vsdigital.volksstimme.de/vsmobile/)";" 31/31";5.042.243;7.249.624;7.106.359;98 %;143.265;
"VORSPRUNG";"VORSPRUNG";"gesamt";" 31/31";517.454;871.360;857.820;98 %;13.540;
"VORSPRUNG";"VORSPRUNG";"Online (http://www.vorsprung-online.de)";" 31/31";517.454;871.360;857.820;98 %;13.540;
"VOX";"VOX";"gesamt";" 31/31";3.582;7.850;6.547;83 %;1.303;
"VOX";"VOX";"Online (http://www.vox.de)";" 31/31";3.582;7.850;6.547;83 %;1.303;
"VRM Online (ehem. Rhein Main Presse)";"VRM Online (ehem. Rhein Main Presse)";"gesamt";" 31/31";4.728.386;8.054.446;7.875.100;98 %;179.346;
